,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
1024,Faraday,(Prototype)Porteur,3800.0,39.0,250.0,15.0,20.0,195.0
1025,EVGlobalMotors,ebikeSX,2000.0,75.0,500.0,15.0,20.0,288.0
1026,EVELO,2013Aries,1995.0,65.5,250.0,20.0,40.0,360.0
1027,IZIP,E3Ultra,2899.0,53.5,500.0,20.0,35.0,360.0
1028,EVELO,2013Aurora,1995.0,55.0,250.0,20.0,40.0,360.0
1029,Polaris,Vector,2499.0,53.0,450.0,15.0,30.0,177.6
1030,IZIP,E3Vibe,999.0,63.0,250.0,15.0,25.0,240.0
1031,A2B,Metro,2700.0,72.0,500.0,20.0,25.0,410.4
1032,Stromer,Sport,3399.0,62.0,500.0,20.0,40.0,360.0
1033,Pedego,CityCommuter,2495.0,57.0,500.0,15.0,40.0,480.0
1034,Pedego,ClassicComfortCruiser,1995.0,59.0,500.0,15.0,30.0,360.0
1035,RideKick,2013PowerTrailer,699.0,43.0,500.0,10.0,15.0,288.0
1036,eZip,Trailz,699.0,68.0,450.0,10.0,15.0,240.0
1037,IZIP,TrekkingEnlightened,1999.0,52.0,180.0,15.0,25.0,240.0
