,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
527,EasyMotion,EvoBigBudPro,3499.0,64.9,350.0,30.0,70.0,604.8
528,MoustacheBikes,StarckBikeAsphalt,6000.0,55.6,350.0,30.0,70.0,396.0
529,Motiv,Sleek,1645.99,55.8,500.0,20.0,60.0,768.0
530,Giant,Road-E+,4000.0,44.0,250.0,30.0,65.0,496.8
531,Pedego,Trike,2995.0,73.6,250.0,25.0,30.0,396.0
532,E-Glide,ST,1699.0,54.0,500.0,25.0,50.0,547.2
533,SunSeeker,FatTadElectricTrike,2435.0,80.5,500.0,15.0,30.0,480.0
534,Platinume-Bikes,3OND,2199.0,53.0,350.0,25.0,60.0,504.0
535,Haibike,SDUROAllMtn6.0,4599.0,52.0,250.0,60.0,120.0,489.6
536,BULLS,E-STREAMEVO45FS,5199.0,56.0,350.0,50.0,130.0,647.5
537,Magnum,Peak,1999.0,55.1,500.0,30.0,60.0,624.0
538,Elby,City,2999.0,56.8,500.0,25.0,70.0,556.8
539,Pedego,"20""TrailTracker",2495.0,52.5,500.0,20.0,35.0,417.6
540,SunSeeker,T3CXElectricTrike,2285.0,66.0,500.0,15.0,35.0,480.0
541,MOAReBikes,24/7,2399.0,74.5,500.0,20.0,45.0,624.0
542,Tern,Vektron,3400.0,49.4,250.0,35.0,60.0,396.0
543,Haibike,SDUROALLMTNPlus,4899.0,53.2,250.0,25.0,60.0,396.0
544,Magnum,Premium,1899.0,61.3,500.0,30.0,60.0,624.0
545,Kalkhoff,Include8Premium,4399.0,59.5,250.0,65.0,125.0,603.0
546,SunSeeker,EZ-3HDElectricTrike,2305.0,99.0,500.0,10.0,20.0,480.0
547,Surface604,2017Rook,1899.0,57.5,500.0,20.0,60.0,499.2
548,Benno,BoostE10D,4299.0,57.0,350.0,30.0,70.0,396.0
549,BULLS,E-STREAMEVO3Carbon27.5Plus,4599.0,46.5,250.0,50.0,130.0,647.5
550,SunSeeker,EurusElectricTrike,2435.0,76.8,500.0,15.0,35.0,480.0
551,Specialized,TurboLevoFSRExpert6Fattie,7500.0,50.0,250.0,28.0,60.0,504.0
552,MoustacheBikes,Lundi26,3000.0,55.0,350.0,30.0,70.0,396.0
553,eVox,City,2699.0,52.0,350.0,35.0,85.0,420.0
554,SunSeeker,EcoTadElectricTrike,1875.0,72.0,500.0,15.0,35.0,480.0
555,Gazelle,CityZenC8HM,2999.0,51.0,350.0,22.0,59.0,396.0
556,Freway,Buffalo,1699.0,52.3,350.0,20.0,45.0,396.0
557,BULLS,DAIL-EGRINDER,5799.0,49.0,350.0,50.0,130.0,482.4
558,Scott,E-SubEvo,4199.0,49.6,350.0,30.0,70.0,396.0
559,SunSeeker,EcoDeltaElectricTrike,1835.0,72.0,500.0,15.0,35.0,360.0
560,Cannondale,MovaroPerformance,4460.0,49.5,350.0,30.0,70.0,396.0
561,Biria,EasyBoardingElectric,2750.0,50.5,350.0,35.0,55.0,422.4
562,eProdigy,Fairweather,3799.0,36.0,500.0,15.0,40.0,237.6
563,BULLS,SIX50E2STREET,3899.0,55.0,350.0,50.0,130.0,482.4
564,WorksmanCycles,PAV3StretchElectricTrike,2198.0,128.0,500.0,10.0,20.0,480.0
565,Stromer,ST1X,4999.0,59.0,500.0,40.0,75.0,618.0
566,Focus,JarifaFat,3599.0,50.5,250.0,50.0,100.0,603.0
567,Haibike,XDUROUrbanSRX,5000.0,41.0,350.0,35.0,65.0,396.0
568,SunBicycles,"24""TraditionalElectricTrike",1523.0,75.6,500.0,10.0,25.0,360.0
569,Specialized,TurboLevoHardtailComp6Fattie,4000.0,49.0,250.0,25.0,55.0,460.0
570,BULLS,2017LACUBAEVOE8,3999.0,56.0,250.0,50.0,130.0,647.5
571,Populo,Sport,999.0,37.0,250.0,20.0,30.0,374.4
572,PUBLIC,M8Electric,2199.0,56.5,350.0,35.0,55.0,422.4
573,eProdigy,Banff,2599.0,59.0,750.0,25.0,70.0,556.8
574,RadPowerBikes,2017RadMini,1499.0,62.1,750.0,20.0,40.0,556.8
575,BULLS,E-STREAMEVOFS327.5Plus,4699.0,54.0,250.0,50.0,130.0,647.5
576,BULLS,2017MONSTEREFS,5299.0,55.6,350.0,45.0,130.0,482.4
577,Kalkhoff,IntegraleS11,5699.0,56.5,350.0,55.0,125.0,603.0
578,eProdigy,Logan,2599.0,55.0,750.0,25.0,70.0,556.8
579,BULLS,LACUBAEVOE45,4399.0,61.5,350.0,50.0,130.0,647.5
580,SmartMotion,Catalyst,2699.0,52.5,500.0,35.0,120.0,696.0
581,Volton,AlationMid-Drive48V,2649.0,54.5,250.0,30.0,45.0,504.0
582,RadPowerBikes,2017RadCity,1499.0,60.5,750.0,20.0,40.0,556.8
583,Gazelle,ArroyoC8HM,3699.0,57.5,250.0,35.0,90.0,396.0
584,VoltBike,Mariner,1249.0,59.5,500.0,15.0,35.0,499.2
585,BULLS,E-StreamEVOFS327.5,4699.0,51.8,250.0,50.0,130.0,647.5
586,Surface604,YunBikeC1,999.0,34.7,180.0,10.0,25.0,187.2
587,Outrider,Nomad3Series,14985.0,117.0,750.0,65.0,170.0,2227.2
588,E-Glide,SS,1099.0,41.5,350.0,18.0,35.0,374.4
589,E-Glide,SS,1099.0,41.5,350.0,18.0,35.0,374.4
590,BULLS,SIX50EFS3RSI,4599.0,49.5,350.0,35.0,85.0,396.0
591,Surface604,Colt,1899.0,57.5,500.0,20.0,60.0,499.2
592,BULLS,MONSTERES,4299.0,52.5,350.0,35.0,85.0,396.0
593,Focus,JarifaI29Pro,4299.0,50.5,250.0,55.0,125.0,603.0
594,BULLS,OUTLAWE45,3999.0,57.0,500.0,35.0,60.0,673.4
595,e-Joe,Gadis,1699.0,55.0,350.0,25.0,45.0,528.0
596,RadPowerBikes,2016RadRover,1499.0,63.0,750.0,20.0,40.0,556.8
597,BULLS,STURMVOGELEEVO,3699.0,54.0,250.0,55.0,130.0,647.5
598,SmartMotion,Pacer,2799.0,53.5,500.0,45.0,120.0,696.0
599,JuicedBikes,CrossCurrent,1499.0,52.0,350.0,25.0,100.0,374.4
600,LibertyTrike,2016ElectricTricycle,1498.0,80.0,750.0,15.0,20.0,360.0
601,Stromer,ST1LimitedEdition,3990.0,60.0,250.0,25.0,50.0,522.0
602,Vilano,Pulse,699.0,42.5,240.0,15.0,25.0,316.8
603,VirtueCycles,Pedalist,4999.0,175.0,750.0,35.0,60.0,720.0
604,KTM,MacinaForce2910CX4,3950.0,47.0,250.0,25.0,60.0,396.0
605,Watseka,XP,649.0,78.0,250.0,10.0,20.0,324.0
606,Vilano,Pulse,789.0,50.2,250.0,15.0,25.0,481.0
607,BULLS,TWENTY9EFS3RSI,4599.0,49.3,350.0,35.0,85.0,396.0
608,Outrider,Alpha4Series,14985.0,117.0,750.0,65.0,170.0,2227.2
609,EasyMotion,EvoJumperPro,4399.0,53.0,500.0,25.0,55.0,504.0
610,EasyMotion,NitroCity,4399.0,56.0,500.0,25.0,55.0,504.0
611,EasyMotion,EvoCityWave,3099.0,58.0,500.0,25.0,55.0,432.0
612,EasyMotion,EvoJet,3099.0,53.0,500.0,25.0,55.0,432.0
613,EasyMotion,EvoCity,3099.0,59.0,500.0,25.0,55.0,504.0
614,Blix,Stockholm,2390.0,55.0,350.0,20.0,30.0,486.0
615,SONDORS,Thin,693.0,46.5,350.0,15.0,30.0,313.2
616,EG,Bali500EX,2199.0,65.0,500.0,20.0,30.0,480.0
617,BULLS,CROSSLITEE,3699.0,48.0,350.0,35.0,85.0,396.0
618,VirtueCycles,Schoolbus+,2000.0,145.0,250.0,15.0,25.0,316.8
619,EasyMotion,"EvoSnow29""Pro",3299.0,57.0,350.0,10.0,40.0,504.0
620,BULLS,E-STREAMEVOEnduro27.5,5399.0,49.5,250.0,30.0,90.0,490.0
621,Outrider,Horizon2Series,12985.0,105.0,750.0,30.0,170.0,1113.6
622,Haibike,SDUROFullFatSix,5299.0,53.5,250.0,25.0,60.0,396.0
623,EG,Milan500EX,2199.0,62.5,500.0,20.0,30.0,480.0
624,EasyMotion,EasyGoVolt,1499.0,39.0,250.0,10.0,28.0,208.8
625,eProdigy,Whistler,2599.0,55.0,750.0,25.0,45.0,556.8
626,EG(EverGreen),Vienna250,1299.0,43.5,250.0,15.0,35.0,280.8
627,EasyMotion,BigBudPro,3499.0,61.0,350.0,10.0,40.0,504.0
628,VirtueCycles,Gondoliere+,1800.0,88.0,250.0,15.0,25.0,316.8
629,JuicedRiders,ODKV3,1995.0,67.0,500.0,30.0,100.0,720.0
630,MarrsCycles,M-2,3500.0,115.0,1000.0,40.0,120.0,960.0
631,Specialized,TurboLevoFSRComp6Fattie,5500.0,50.0,250.0,25.0,55.0,460.0
632,EasyMotion,"EvoSnow29""",3299.0,58.0,350.0,10.0,40.0,417.6
633,Haibike,SDUROFullNineRX,4499.0,49.5,250.0,25.0,60.0,396.0
634,Blix,Komfort+,1990.0,53.0,350.0,20.0,30.0,396.0
635,Blix,2016Vika+,1650.0,51.0,350.0,20.0,30.0,396.0
636,EVO,TobaHB1,1999.0,44.0,350.0,30.0,50.0,316.8
637,Felt,BRüHAUL,4999.0,53.5,350.0,20.0,65.0,396.0
638,RadPowerBikes,2016RadMini,1499.0,61.0,750.0,20.0,40.0,556.8
639,ArielRider,N-Class,2899.0,62.5,500.0,25.0,40.0,556.8
640,ArielRider,2016W-Class,2350.0,61.7,500.0,25.0,40.0,556.8
641,Stromer,ST2S,9999.0,57.5,500.0,60.0,120.0,983.0
642,VoltBike,Urban,1049.0,47.5,350.0,15.0,25.0,360.0
643,Stromer,ST1S,4790.0,62.0,250.0,25.0,50.0,522.0
644,Stromer,ST1T,4790.0,62.0,250.0,25.0,50.0,522.0
645,FLX,2016Trail,2199.0,50.0,250.0,25.0,45.0,468.0
646,Torker,TristarHybrid,1799.0,81.0,250.0,10.0,25.0,266.0
647,Haibike,SDUROALLMTNRC,4299.0,51.5,250.0,25.0,60.0,396.0
648,Haibike,XDURODWNHLLPro,8899.0,53.0,250.0,25.0,60.0,396.0
649,Haibike,XDUROFullLifeRX,5299.0,49.0,250.0,25.0,60.0,396.0
650,IZIP,2016E3ProTour,2999.0,54.0,500.0,15.0,40.0,417.6
651,Raleigh,SprintiE,2999.0,51.5,500.0,15.0,40.0,417.6
652,IZIP,E3Sumo,3099.0,54.0,350.0,15.0,35.0,417.6
653,Raleigh,TekoaiE,2799.0,48.0,350.0,15.0,35.0,417.6
654,IZIP,E3Peak,2799.0,49.0,350.0,15.0,35.0,417.6
655,IZIP,2016E3Dash,2599.0,54.5,350.0,15.0,30.0,417.6
656,Raleigh,RouteiE,2599.0,52.0,350.0,15.0,30.0,417.6
657,Raleigh,MisceoSportiE,2599.0,44.5,250.0,30.0,50.0,417.6
658,Raleigh,MisceoiE,2699.0,43.5,250.0,30.0,50.0,417.6
659,Raleigh,2016DetouriE,2299.0,49.5,250.0,30.0,50.0,417.6
660,IZIP,E3Path+,2299.0,49.5,250.0,30.0,50.0,417.6
661,Raleigh,SpriteiE,2099.0,54.0,350.0,20.0,40.0,422.4
662,IZIP,E3Vibe+,1799.0,54.0,350.0,20.0,40.0,422.4
663,Yuba,SpicyCurry,4200.0,62.0,350.0,20.0,35.0,417.6
664,IZIP,2016E3Zuma,2499.0,54.0,500.0,20.0,35.0,417.6
665,Haibike,SDUROHardSevenSM,2499.0,49.3,250.0,25.0,60.0,396.0
666,Haibike,SDUROHardLifeSL,2799.0,47.8,250.0,25.0,60.0,396.0
667,Everly,202,1199.0,37.0,250.0,15.0,30.0,187.2
668,E-Lux,Newport,1895.0,57.5,500.0,25.0,40.0,480.0
669,E-Lux,Tahoe,2250.0,77.0,500.0,25.0,40.0,624.0
670,Trek,XM700+,3499.0,46.5,350.0,15.0,65.0,396.0
671,Trek,Conduit+,2999.0,45.0,250.0,30.0,75.0,417.6
672,Trek,Lift+,2799.0,44.8,250.0,30.0,75.0,417.6
673,Electra,TownieGo!,2729.0,58.0,350.0,20.0,110.0,396.0
674,ElectroBike,Seal,1899.0,63.0,500.0,15.0,30.0,360.0
675,ElectroBike,Cross,1599.0,46.0,350.0,15.0,30.0,324.0
676,ElectroBike,GamaCruise,1499.0,53.2,350.0,15.0,30.0,350.0
677,ElectroBike,Light,1399.0,41.5,250.0,18.0,35.0,316.8
678,ElectroBike,Magnos,1299.0,53.5,250.0,15.0,30.0,324.0
679,ElectroBike,Alfa+,999.0,47.0,250.0,15.0,30.0,324.0
680,ElectroBike,Dash,799.0,48.0,350.0,15.0,30.0,324.0
681,EasyMotion,EasyGoStreet,1699.0,43.8,250.0,10.0,28.0,208.8
682,VintageElectric,Cruz,4995.0,87.0,750.0,25.0,25.0,702.0
683,EasyMotion,EasyGoRace,1299.0,35.4,250.0,10.0,28.0,208.8
684,SONDORS,Ebike,693.0,59.0,350.0,10.0,25.0,316.8
685,VintageElectric,Tracker,4995.0,78.5,750.0,25.0,25.0,702.0
686,Zeitgeist,Cargo,5999.0,63.0,350.0,20.0,30.0,374.4
687,Biomega,OKO,2295.0,42.4,350.0,25.0,35.0,356.4
688,Zeitgeist,City,7999.0,43.5,500.0,20.0,35.0,417.6
689,Riide,V1.1,1999.0,43.5,350.0,20.0,30.0,313.2
690,Faraday,CortlandS,2499.0,41.0,250.0,20.0,25.0,290.0
691,Faraday,Cortland,3499.0,42.5,250.0,20.0,25.0,290.0
692,BoxBikeCollective,StandardBoxBike,3900.0,96.0,500.0,15.0,20.0,288.0
693,SnelheidCycles,Tyro,2299.0,47.0,500.0,20.0,30.0,444.0
694,SnelheidCycles,Leider,2799.0,46.0,500.0,20.0,25.0,466.2
695,Pedego,Latch,2595.0,51.0,250.0,20.0,30.0,360.0
696,Daymak,WildGoose,1599.0,69.0,500.0,20.0,25.0,480.0
697,Freway,VR-01,1199.0,43.0,250.0,15.0,25.0,187.2
698,Daymak,Paris,999.0,50.0,250.0,10.0,20.0,240.0
699,BESV,JaguarJS1,2980.0,60.0,250.0,35.0,50.0,410.4
700,Pedego,TrailTracker,3295.0,64.0,500.0,15.0,30.0,556.8
701,Daymak,Vermont,1999.0,55.0,500.0,35.0,55.0,768.0
702,Pedego,RidgeRider,3395.0,56.0,500.0,20.0,35.0,556.8
703,Motiv,Stash,1549.0,45.0,350.0,15.0,25.0,324.0
704,Daymak,Arsenal,1899.0,54.0,350.0,15.0,25.0,360.0
705,Daymak,EC1,1899.0,38.0,250.0,10.0,25.0,249.6
706,Revelo,Flex,1599.0,33.1,250.0,15.0,20.0,360.0
707,Daymak,NewYorker,1499.0,37.0,250.0,15.0,25.0,324.0
708,Daymak,Florence,1999.0,85.0,500.0,20.0,35.0,576.0
709,Biktrix,Stunner,1999.0,50.0,500.0,15.0,35.0,374.4
710,EnzoeBikes,FoldingElectricBike,1699.0,48.0,350.0,20.0,30.0,374.4
711,Gocycle,G2,4999.0,36.0,500.0,15.0,40.0,232.2
712,Biktrix,Juggernaut,1999.0,55.0,500.0,20.0,50.0,556.8
713,Voltbike,Yukon,1159.0,56.0,350.0,20.0,35.0,499.2
714,Voltbike,2015Elegant,1099.0,54.0,250.0,15.0,25.0,374.4
715,HPVelotechnok,ScorpionFS,8495.0,68.0,500.0,35.0,90.0,558.0
716,Specialized,TurboS,7000.0,54.5,500.0,35.0,60.0,702.0
717,Voltbike,Interceptor,1599.0,62.0,800.0,25.0,40.0,556.8
718,RadPowerBikes,2015RadWagon,1599.0,75.0,500.0,15.0,40.0,556.8
719,Specialized,S-WorksTurboLevoFSR6Fattie,9000.0,48.5,250.0,25.0,55.0,504.0
720,CUBE,ReactionHybridHPAPro29,2999.0,57.5,250.0,30.0,60.0,396.0
721,RadPowerBikes,2015RadRover,1499.0,61.0,500.0,20.0,40.0,556.8
722,Surface604,BoarE350,2499.0,57.0,350.0,20.0,35.0,468.0
723,EasyMotion,XenionJumper27.5,5199.0,47.0,350.0,35.0,65.0,396.0
724,EasyMotion,XenionCross,3999.0,47.0,350.0,35.0,65.0,396.0
725,CUBE,SUVHybridSL27.5,4799.0,47.0,250.0,35.0,65.0,396.0
726,OHM,SportXS750Plus,3999.0,50.0,500.0,20.0,60.0,556.8
727,OHM,UrbanXU70016,4199.0,51.5,500.0,25.0,80.0,556.8
728,OHM,UrbanXU700LS15,3699.0,52.0,350.0,20.0,40.0,316.8
729,OHM,UrbanXU700LS15,3699.0,52.0,350.0,20.0,40.0,316.8
730,Leisger,CD5,2499.0,52.0,350.0,20.0,55.0,468.0
731,Leisger,MD5,2499.0,52.0,350.0,20.0,55.0,468.0
732,GreenWorldBike,E-Trolley,1299.0,50.0,250.0,15.0,25.0,360.0
733,Magnum,Ui5,1699.0,51.0,350.0,25.0,55.0,468.0
734,Magnum,Mi5,1699.0,52.0,350.0,25.0,55.0,468.0
735,Vela,Model1,1899.0,49.5,350.0,20.0,30.0,360.0
736,Haibike,XDUROFullsevenRX,5500.0,48.0,350.0,25.0,60.0,396.0
737,EasyMotion,Evo27.5Jumper,4299.0,52.0,350.0,15.0,40.0,417.6
738,EG,Oahu500EX,1999.0,56.0,500.0,20.0,30.0,480.0
739,SSRMotorsports,TrailViper,1399.0,56.0,350.0,10.0,25.0,360.0
740,SSRMotorsports,500WSandViper,1799.0,62.0,500.0,20.0,30.0,499.2
741,E-Lux,E-100All-Trac,1999.0,75.5,500.0,25.0,35.0,624.0
742,SONDORS,Ebike,842.0,59.0,350.0,10.0,20.0,316.8
743,OHM,SportXS75015,3999.0,46.0,500.0,25.0,80.0,555.0
744,Mando,FootlooseiM,2700.0,50.0,250.0,15.0,25.0,289.6
745,Kalkhoff,TasmanClassicImpulse8,3799.0,56.0,250.0,60.0,120.0,629.0
746,EZPedaler,T350,1795.0,54.0,350.0,25.0,35.0,360.0
747,OHM,UrbanXU700LS,2899.0,50.0,350.0,25.0,45.0,316.8
748,Pedego,24″Step-ThruInterceptor,2995.0,58.0,500.0,30.0,50.0,480.0
749,EasyMotion,Evo29,2999.0,51.2,350.0,20.0,45.0,417.6
750,EZPedaler,T500,1895.0,58.0,500.0,25.0,35.0,432.0
751,Solex,Solexity400,2395.0,58.0,400.0,25.0,45.0,417.6
752,EZPedaler,X350,1695.0,50.0,350.0,20.0,30.0,374.4
753,Faraday,PorteurS,2499.0,42.5,250.0,20.0,25.0,250.0
754,Pedego,Step-ThruComfortCruiserII,2295.0,58.0,500.0,15.0,35.0,360.0
755,Focus,AventuraImpulseSpeed1.0,4999.0,54.0,350.0,65.0,125.0,612.0
756,EasyMotion,EvoCity,2999.0,59.0,350.0,20.0,45.0,417.6
757,Felt,VERZAe,3999.0,51.5,350.0,30.0,60.0,396.0
758,EasyMotion,EvoCityWave,2999.0,58.0,350.0,25.0,50.0,417.6
759,e-Joe,Koda,2199.0,49.0,500.0,25.0,40.0,540.0
760,Specialized,Turbo,3800.0,49.5,200.0,25.0,55.0,468.0
761,EasyMotion,EvoStreet,2999.0,57.0,350.0,20.0,45.0,417.6
762,Pedego,Interceptor,2995.0,61.0,500.0,15.0,40.0,720.0
763,EG,Barcelona,999.0,54.0,200.0,15.0,30.0,240.0
764,EnergieCycles,26tm,1750.0,61.0,500.0,30.0,45.0,576.0
765,Pedego,TrailTracker,2995.0,65.0,500.0,15.0,40.0,720.0
766,Pedego,CityCommuter,2595.0,60.0,500.0,15.0,40.0,720.0
767,Haibike,XDUROAMTRX,6350.0,49.2,350.0,25.0,60.0,396.0
768,IZIP,E3Sumo,3650.0,52.0,350.0,15.0,35.0,417.6
769,Specialized,TurboX,4000.0,49.5,200.0,25.0,55.0,468.0
770,Raleign,MisceoiE,3200.0,41.7,250.0,35.0,75.0,417.6
771,EnergieCycles,Excursion2.0,1000.0,46.9,250.0,13.0,18.0,237.6
772,CutlerCycles,FusionElectricBike,900.0,95.0,1000.0,30.0,55.0,720.0
773,Binelli,Classica,2100.0,49.0,350.0,20.0,35.0,324.0
774,iGo,MetroE,1599.0,57.3,350.0,15.0,25.0,360.0
775,BMEBIKES,BM-Apollos,3899.0,48.0,350.0,20.0,40.0,316.8
776,Focus,AventuraImpulse2.0,3799.0,52.0,250.0,65.0,125.0,612.0
777,VintageElectric,E-Tracker,4995.0,72.0,750.0,20.0,30.0,650.0
778,Felt,OUTFITTER,5499.0,53.0,350.0,30.0,60.0,396.0
779,BMEBIKES,BM-Helio,2899.0,48.4,750.0,20.0,40.0,422.4
780,Kalkhoff,AgattuImpulse8HS,3599.0,58.0,250.0,55.0,125.0,612.0
781,Ridekick,PowerTrailer,699.0,42.5,500.0,10.0,15.0,288.0
782,Haibike,XDURONduroPro,9100.0,49.0,350.0,35.0,60.0,396.0
783,Focus,JarifaImpulse27R3.0,3899.0,48.0,250.0,65.0,125.0,612.0
784,Kalkhoff,SahelImpulse8,3799.0,50.0,250.0,50.0,85.0,429.2
785,Blix,Vika+,1590.0,48.6,350.0,17.0,25.0,360.0
786,EG,MauiEX,1499.0,60.0,350.0,15.0,25.0,360.0
787,Hi-PowerCycles,HPCSuperMundoCargoBike,4695.0,89.0,750.0,25.0,30.0,621.6
788,BMEBIKES,BM-NightHawk,2699.0,46.3,350.0,20.0,40.0,316.8
789,Kalkhoff,SahelCompactImpulse8,3499.0,50.0,250.0,50.0,85.0,417.0
790,Haibike,XDUROTrekkingPro,4650.0,53.0,350.0,40.0,65.0,396.0
791,Blix,Komfort+,1990.0,49.0,350.0,17.0,25.0,360.0
792,Mando,Footloose,3999.0,50.5,250.0,15.0,25.0,295.2
793,EasyMotion,Evo27.5,2999.0,50.0,350.0,20.0,45.0,417.6
794,Hi-PowerCycles,HPCFreedom,1995.0,45.0,750.0,20.0,45.0,429.2
795,BMEBIKES,BM-Shadow,2175.0,46.0,350.0,20.0,40.0,316.8
796,EG,Enterprise,899.0,55.0,200.0,15.0,25.0,240.0
797,Polaris,Sabre,3499.0,63.0,750.0,20.0,50.0,264.0
798,A2B,Kuo+,1699.0,43.0,250.0,15.0,25.0,324.0
799,EG,MonteCarlo500EX,2799.0,66.0,500.0,15.0,25.0,480.0
800,SSRMotorsports,SandViper,1399.0,61.0,350.0,15.0,25.0,360.0
801,Haibike,XDUROUrban,4450.0,41.0,350.0,35.0,65.0,396.0
802,EasyMotion,EvoRace,2999.0,45.0,350.0,35.0,60.0,417.6
803,Nicolai,E-BOXX2,5499.0,42.0,350.0,35.0,65.0,396.0
804,Polaris,Appex,2999.0,60.0,750.0,20.0,50.0,264.0
805,EmazingBike,Artemis73hd,2149.0,38.0,350.0,50.0,60.0,313.2
806,Haibike,XDUROFatsix,5800.0,53.0,350.0,35.0,65.0,396.0
807,EasyMotion,BoschCityWave,3999.0,53.0,350.0,35.0,65.0,396.0
808,Grace,One,4500.0,73.85,1300.0,25.0,40.0,518.0
809,Polaris,Terrain,2499.0,52.0,750.0,20.0,60.0,264.0
810,Haibike,XDURORace,6700.0,40.0,350.0,35.0,65.0,396.0
811,Diamondback,TraceEXC,2800.0,48.5,500.0,25.0,45.0,422.4
812,Polaris,Course,2999.0,52.0,750.0,20.0,60.0,264.0
813,EasyMotion,NitroCity,4399.0,54.0,500.0,20.0,35.0,417.6
814,Diamondback,LindauEXC,2500.0,55.0,500.0,25.0,45.0,422.4
815,Pedego,Stretch,3495.0,,500.0,25.0,55.0,624.0
816,EasyMotion,EvoCross,2999.0,52.5,350.0,35.0,55.0,417.6
817,IZIP,2015E3PeakDS,4500.0,50.0,350.0,25.0,35.0,417.6
818,IZIP,E3Peak,3100.0,49.0,350.0,25.0,35.0,417.6
819,EasyMotion,NitroCross,4399.0,50.0,500.0,20.0,35.0,417.6
820,Focus,ThronImpulseSpeed27R,6599.0,51.37,350.0,40.0,120.0,612.0
821,Raleigh,Tekoa-iE,3300.0,50.0,350.0,25.0,35.0,417.6
822,EG(EverGreen),Athens250,1199.0,54.0,250.0,25.0,40.0,360.0
823,IZIP,E3Zuma,2550.0,53.0,500.0,25.0,35.0,417.6
824,e-Joe,2015EpikSE,1599.0,42.0,,20.0,30.0,324.0
825,Trek,2011FX+,2679.0,45.0,350.0,35.0,50.0,355.2
826,Polaris,Rail,2499.0,52.0,750.0,20.0,60.0,264.0
827,Raleigh,2015Venture-iE,2400.0,55.0,500.0,25.0,45.0,422.4
828,eProdigy,Jasper,2399.0,50.7,350.0,25.0,65.0,325.6
829,Trek,Transport+,2679.0,65.0,350.0,35.0,45.0,355.2
830,Jetson,ElectricMountainBike,1999.0,65.0,500.0,25.0,40.0,816.0
831,Raleigh,Detour-iE,2500.0,55.0,500.0,25.0,45.0,422.4
832,Felt,DUALe,5799.0,44.0,350.0,35.0,65.0,400.0
833,Tern,NodeD8withBionX,2750.0,45.0,350.0,35.0,50.0,316.8
834,GenZe,Recreationale102,1499.0,44.0,250.0,20.0,45.0,313.2
835,BESV,LionLX1,5500.0,62.8,500.0,40.0,50.0,403.2
836,A2B,Galvani,2299.0,50.2,350.0,30.0,55.0,316.8
837,ProdecoTech,Mariner500,1899.0,48.0,500.0,25.0,35.0,460.8
838,A2B,Galvani,2299.0,50.2,350.0,30.0,55.0,316.8
839,ProdecoTech,Mariner500,1899.0,48.0,500.0,25.0,35.0,460.8
840,Felt,NINEe,4699.0,38.0,350.0,35.0,65.0,400.0
841,e-Joe,Anggun3.0,1899.0,55.0,350.0,30.0,50.0,540.0
842,GenZe,Sporte101,1499.0,44.0,250.0,20.0,45.0,313.2
843,Tern,LinkD8withBionX,2700.0,42.0,350.0,35.0,50.0,316.8
844,BESV,PantherPS1,3250.0,37.2,250.0,20.0,30.0,237.6
845,Motiv,Stout,2599.0,55.0,500.0,15.0,20.0,480.0
846,Felt,SPORTeStep-Thru,3999.0,40.0,350.0,35.0,65.0,396.0
847,Xtracycle,EdgeRunner10E,5000.0,75.0,350.0,35.0,65.0,400.0
848,Felt,SPORTe,3999.0,40.0,350.0,35.0,65.0,400.0
849,Motiv,Sherpa,2499.99,55.0,500.0,15.0,25.0,480.0
850,A2B,Ferber,2399.0,48.5,350.0,30.0,55.0,316.8
851,Felt,LEBOWSKe,5799.0,48.0,350.0,35.0,65.0,400.0
852,Grace,MXIIUrban,3999.0,48.5,350.0,35.0,65.0,400.0
853,Faraday,Porteur,3499.0,40.0,250.0,20.0,25.0,249.4
854,Pedego,Boomerang,2495.99,62.0,500.0,20.0,30.0,720.0
855,Grace,MXIITrail,3699.0,48.5,350.0,35.0,65.0,400.0
856,Stromer,ST2,6999.0,58.5,500.0,50.0,100.0,814.0
857,Schwinn,WorldGSE,1999.0,48.0,180.0,25.0,55.0,266.0
858,IZIP,Path+,2600.0,55.0,500.0,25.0,45.0,422.0
859,IZIP,E3Dash,2900.0,49.0,500.0,20.0,35.0,417.6
860,iGo,Metro,1699.0,58.0,350.0,20.0,40.0,360.0
861,Optibike,PioneerCity,2995.0,49.0,500.0,30.0,40.0,389.9
862,Optibike,PioneerAllroad,2795.0,49.0,500.0,25.0,35.0,390.0
863,Volton,AlationMid-Drive350,2249.0,52.0,350.0,35.0,45.0,378.0
864,Focus,AventuraX30,3999.0,55.0,500.0,55.0,85.0,558.0
865,Kalkhoff,AgattuPremiumImpulse8,3750.0,55.0,250.0,55.0,125.0,612.0
866,F4W,Peak,1977.0,48.0,350.0,25.0,35.0,324.0
867,Lapierre,OvervoltFS900,5500.0,49.0,350.0,35.0,65.0,400.0
868,Lapierre,OvervoltHT900,4500.0,41.0,250.0,35.0,65.0,400.0
869,NYCeWheels,ElectricBrompton,2795.0,45.0,250.0,10.0,40.0,201.6
870,UrbanArrow,Family,4500.0,94.8,250.0,25.0,30.0,288.0
871,eProdigy,2015Banff,1999.0,52.0,350.0,25.0,30.0,325.6
872,EVELO,Aries,2079.0,59.0,500.0,20.0,60.0,360.0
873,EVELO,Aurora,2079.0,55.0,500.0,20.0,60.0,360.0
