name,address,city,state,zip,country,num_stalls,power,lat_lon,elevation,status,open_date
"Alpharetta (SC), GA",1400 Upper Hembree Rd,Roswell,GA,30076,USA,2,72,"34.067199, -84.318835",340,OPEN,2018-07-21
"North Brunswick, NJ",301 Grand Ave,North Brunswick,NJ,8902,USA,10,120,"40.439373, -74.504769",35,OPEN,2018-07-20
"Sandusky, OH",4702 Milan Rd,Sandusky,OH,44870,USA,10,120,"41.410173, -82.662914",185,OPEN,2018-07-03
"Aspen, CO",38750 Highway 82,Aspen,CO,81611-2506,USA,8,72,"39.204837, -106.858507",2402,OPEN,2018-07-03
"Yonkers, NY","Ridge Hill, 1 Ridge Hill Blvd",Yonkers,NY,10710,USA,18,72,"40.963462, -73.855127",86,OPEN,2018-07-02
"Manchester, TN",2224 Hillsboro Blvd,Manchester,TN,37355,USA,10,150,"35.458583, -86.057316",327,OPEN,2018-07-02
"San Carlos, CA",1127 Industrial Rd,San Carlos,CA,94070,USA,19,72,"37.502912, -122.245569",3,OPEN,2018-07-02
"East Palo Alto, CA",1775 E Bayshore Rd,East Palo Alto,CA,94303,USA,20,72,"37.459659, -122.137651",6,OPEN,2018-07-02
"Fort Myers - Dani Drive, FL",9357 6 Mile Cypress Pkwy,Fort Myers,FL,33966,USA,14,120,"26.608585, -81.809444",7,OPEN,2018-07-02
"Delray Beach, FL","Delray Marketplace, 14851 Lyons Rd",Delray Beach,FL,33446,USA,19,120,"26.455815, -80.190072",6,OPEN,2018-07-01
"Mansfield, MA",280 School St,Mansfield,MA,2048,USA,8,120,"42.013729, -71.231754",45,OPEN,2018-06-30
"Downey - Stonewood St, CA",251 Stonewood St,Downey,CA,90241,USA,12,,"33.934643, -118.12117",35,OPEN,2018-06-30
"Plainview, NY",1528 Old Country Road,Plainview,NY,11803,USA,6,120,"40.779989, -73.450258",52,OPEN,2018-06-29
"Kennebunk - Southbound, ME",I-95 Service Plaza,Kennebunk,ME,4043,USA,8,120,"43.410693, -70.560923",33,OPEN,2018-06-29
"Framingham, MA",1 Worcester Rd,Framingham,MA,1701,USA,12,120,"42.303637, -71.394171",51,OPEN,2018-06-29
"San Diego - A Street, CA",1350 6th Ave,San Diego,CA,92101,USA,16,72,"32.719384, -117.159567",28,OPEN,2018-06-27
"Henderson, NV",2820 S Boulder Hwy,Henderson,NV,89002,USA,12,150,"35.97141, -114.911332",694,OPEN,2018-06-23
"Mehlville, MO",18 S County Center Way,Mehlville,MO,63129,USA,10,150,"38.508172, -90.331113",179,OPEN,2018-06-23
"Miami - NE 41st Street, FL",90 NE 41st St,Miami,FL,33137,USA,14,72,"25.813933, -80.194551",4,OPEN,2018-06-23
"Gaylord, MI",250 Meijer Dr,Gaylord,MI,49735,USA,10,150,"45.025577, -84.722201",398,OPEN,2018-06-21
"Carmel, IN",1426 W Carmel Dr,Carmel,IN,46032,USA,10,120,"39.97193, -86.152619",262,OPEN,2018-06-21
"Springfield, VA",6500 Springfield Mall,Springfield,VA,22150,USA,18,150,"38.774412, -77.177566",72,OPEN,2018-06-21
"Wallace, NC",River Village Place,Island Creek,NC,28466,USA,8,150,"34.756276, -77.948019",15,OPEN,2018-06-16
"Kennebunk - Northbound, ME",Maine Turnpike,Kennebunk,ME,4043,USA,8,120,"43.409493, -70.558551",29,OPEN,2018-06-14
"San Bernardino, CA",400 Inland Center Dr,San Bernardino,CA,92408,USA,14,72,"34.08407, -117.299314",304,OPEN,2018-06-08
"Claymont, DE",691 Naamans Rd,Claymont,DE,19703,USA,8,120,"39.817478, -75.457282",33,OPEN,2018-06-06
"New Rochelle, NY",33 Lecount Place,New Rochelle,NY,10801,USA,8,72,"40.912298, -73.780132",36,OPEN,2018-06-04
"Miami - SW 8th St, FL",701 South Miami Ave,Miami,FL,33130-1946,USA,10,72,"25.766875, -80.194524",1,OPEN,2018-06-01
"Boulder, CO",29th St,Boulder,CO,80301,USA,10,150,"40.020306, -105.257028",1611,OPEN,2018-05-30
"Altamonte Springs, FL",305 East Altamonte Dr,Altamonte Springs,FL,32701,USA,8,120,"28.664414, -81.380274",25,OPEN,2018-05-27
"Wheatland, WY",1556 Sherard Road,Wheatland,WY,82201,USA,8,150,"42.072497, -104.96271",1436,OPEN,2018-05-27
"Kansas City, MO",8301 N St Clair Ave,Kansas City,MO,64151,USA,8,72,"39.24629, -94.644943",315,OPEN,2018-05-26
"Downey - Lakewood Blvd, CA",9588 Lakewood Blvd,Downey,CA,90240,USA,12,72,"33.953335, -118.112914",42,OPEN,2018-05-25
"Valley Stream, NY",23 Green Acres Road W,Valley Stream,NY,11851,USA,16,72,"40.66402, -73.7251",3,OPEN,2018-05-21
"Athens, GA",1791 Oconee Connector,Athens,GA,30606,USA,10,120,"33.916675, -83.452965",224,OPEN,2018-05-18
"Aventura, FL",19501 Biscayne Blvd,Aventura,FL,33180,USA,35,72,"25.956403, -80.143001",6,OPEN,2018-05-17
"Danbury, CT",7 Backus Ave,Danbury,CT,6810,USA,10,120,"41.379222, -73.477689",140,OPEN,2018-05-15
"Estes Park, CO",333 E Wonderview Ave,Estes Park,CO,80517,USA,7,150,"40.383833, -105.519783",2337,OPEN,2018-05-15
"Custer, SD",800 Mount Rushmore Road,Custer,SD,57730,USA,8,150,"43.767498, -103.594306",1615,OPEN,2018-05-11
"Hartford, CT",42 Asylum St,Hartford,CT,6103,USA,6,72,"41.766116, -72.673977",19,OPEN,2018-05-09
"Merrillville, IN",611 W Lincoln Hwy,Merrillville,IN,46410,USA,10,150,"41.468444, -87.343613",208,OPEN,2018-05-09
"Tigard, OR",9585 SW Washington Square Rd,Tigard,OR,97223,USA,10,72,"45.451608, -122.782599",71,OPEN,2018-05-07
"Fairfield, CA",1350 Travis Blvd,Fairfield,CA,94533,USA,12,150,"38.26175, -122.0524",10,OPEN,2018-05-06
"San Luis Obispo, CA","Madonna Inn, 100 Madonna Rd",San Luis Obispo,CA,93405,USA,14,250,"35.267293, -120.674191",47,OPEN,2018-05-06
"Dubuque, IA",Hy-Vee 400 S Locust St,Dubuque,IA,52003,USA,8,150,"42.48773, -90.663624",186,OPEN,2018-05-02
"Tucson - East Skyline Drive, AZ",2905 E Skyline Dr,Tucson,AZ,85718,USA,10,72,"32.32555, -110.930936",842,OPEN,2018-04-29
"Fremont - 39201 Fremont Blvd, CA",39201 Fremont Blvd,Fremont,CA,94538,USA,12,120,"37.544506, -121.983822",16,OPEN,2018-04-28
"New York - W 75th Street, NY",201 W 75th Street,New York,NY,10023-1704,USA,4,72,"40.780976, -73.980414",23,OPEN,2018-04-24
"New York - E 47th Street, NY",212 East 47th Street,New York,NY,10017,USA,4,72,"40.753356, -73.971685",12,OPEN,2018-04-24
"Sedona, AZ",7000 AZ-179,Sedona,AZ,86351,USA,14,72,"34.775559, -111.764099",1232,OPEN,2018-04-23
"Glenview, IL",1200 N Milwaukee Ave,Glenview,IL,60025,USA,10,72,"42.077128, -87.860788",204,OPEN,2018-04-20
"Dallas, TX",8021 Walnut Hill Lane,Dallas,TX,75231,USA,12,72,"32.881155, -96.769519",170,OPEN,2018-04-19
"Southlake, TX",Southlake Town Square,Southlake,TX,76092,USA,10,150,"32.943488, -97.133843",199,OPEN,2018-04-19
"Hadley, MA",25 Russell St,Hadley,MA,1035,USA,12,,"42.338922, -72.611239",36,OPEN,2018-04-17
"West Cincinnati, OH",6550 Harrison Ave,Dent,OH,45247,USA,12,150,"39.193996, -84.65871",218,OPEN,2018-04-14
"Fredericksburg, VA",10060 Jefferson Davis Highway,Fredericksburg,VA,22407,USA,8,,"38.225974, -77.506136",49,OPEN,2018-04-12
"Santa Clarita, CA",23975 Newhall Ranch Rd,Santa Clarita,CA,91355,USA,24,150,"34.431041, -118.554319",344,OPEN,2018-04-06
"Hickory, NC",2191 13th Ave Dr SE,Hickory,NC,28602,USA,8,120,"35.706189, -81.294768",296,OPEN,2018-04-04
"Plano, TX",5725 Legacy Dr,Plano,TX,75024,USA,12,72,"33.07868, -96.819506",223,OPEN,2018-03-31
"Glendale, CA","877 Americana Way, Parking level 7",Glendale,CA,91210,USA,20,72,"34.145099, -118.256433",161,OPEN,2018-03-30
"Cupertino, CA",19500 Vallco Parkway,Cupertino,CA,95014,USA,10,120,"37.324372, -122.009179",55,OPEN,2018-03-29
"Phoenix - East Camelback Rd, AZ",2502 E Camelback Rd,Phoenix,AZ,85016,USA,12,72,"33.511555, -112.026392",360,OPEN,2018-03-27
"Auburn Hills, MI",850 Brown Rd,Auburn Hills,MI,48326,USA,8,150,"42.706969, -83.288941",306,OPEN,2018-03-23
"Phoenix - Agua Fria Fwy, AZ",2805 W Agua Fria Fwy,Phoenix,AZ,85027,USA,16,150,"33.667011, -112.120891",417,OPEN,2018-03-21
"Thousand Oaks - East Thousand Oaks Blvd, CA",180 Promenade Way,Thousand Oaks,CA,91362,USA,24,150,"34.158291, -118.82363",289,OPEN,2018-03-21
"Fishers, IN",9 Municipal Drive,Fishers,IN,46038,USA,10,72,"39.957683, -86.016131",249,OPEN,2018-03-17
"Miami - SW 7th St, FL","CMX - Brickell City Centre, 701 South Miami Ave",Miami,FL,33130,USA,13,72,"25.76768, -80.192467",2,OPEN,2018-03-16
"Sunnyvale - W McKinley Ave, CA",298 W McKinley Ave,Sunnyvale,CA,94086,USA,10,120,"37.373421, -122.033114",10,OPEN,2018-03-14
"Hollister, CA","Casa de Fruta, 10021 Pacheco Pass Hwy",Hollister,CA,95023,USA,20,120,"36.989869, -121.380535",83,OPEN,2018-03-13
"Woodbridge, NJ",440 King Georges Rd,Woodbridge,NJ,8857,USA,8,120,"40.535862, -74.297271",40,OPEN,2018-03-12
"Orlando - W. Sand Lake Rd, FL",6500 W Sand Lake Rd,Orlando,FL,32819,USA,8,150,"28.449767, -81.466734",33,OPEN,2018-03-10
"Big Rapids, MI",15400 Waldron Way,Big Rapids,MI,49307,USA,10,150,"43.689792, -85.515625",312,OPEN,2018-03-09
"Concord, CA",2001 Diamond Blvd,Concord,CA,94520,USA,19,150,"37.970453, -122.058384",10,OPEN,2018-03-02
"Lake Elsinore, CA",17600 Collier Ave,Lake Elsinore,CA,92530,USA,20,150,"33.698437, -117.349113",388,OPEN,2018-03-01
"Muskegon, MI",5300 Harvey Street,Muskegon,MI,49444,USA,10,150,"43.155333, -86.202939",192,OPEN,2018-02-27
"Tampa, FL",2502 N 50th St,Tampa,FL,33619,USA,8,120,"27.965757, -82.402577",12,OPEN,2018-02-24
"Jersey City - Mall Drive West, NJ",30 Mall Drive West,Jersey City,NJ,7310,USA,20,72,"40.727327, -74.039344",3,OPEN,2018-02-23
"New York - Mott Street, NY",106 Mott Street,New York,NY,10013-4600,USA,2,72,"40.717522, -73.997302",10,OPEN,2018-02-21
"Mt. Hope, WV",5481 Robert C. Byrd Drive,Mount Hope,WV,25880,USA,8,,"37.847683, -81.196272",724,OPEN,2018-02-19
"Jersey City, NJ",160 First Street,Jersey City,NJ,7302,USA,6,72,"40.721595, -74.040469",2,OPEN,2018-02-15
"Vancouver, WA",800 NE Tenney Road,Vancouver,WA,98685,USA,12,150,"45.721663, -122.663461",62,OPEN,2018-02-13
"Sheffield, OH",5295 Detroit Rd,Sheffield,OH,44054,USA,8,,"41.426963, -82.076273",203,OPEN,2018-02-10
"Strongsville, OH",9037 Pearl Rd,Strongsville,OH,44136,USA,8,150,"41.34336, -81.824924",256,OPEN,2018-02-09
"Poncha Springs, CO",6250 Hwy 285,Poncha Springs,CO,81201,USA,8,150,"38.51174, -106.076394",2278,OPEN,2018-02-03
"Chicago - South Canal Street, IL",1100 South Canal St,Chicago,IL,60607,USA,14,72,"41.869126, -87.639971",181,OPEN,2018-02-02
"Chicago - North Broadway, IL",3030 North Broadway,Chicago,IL,60657,USA,8,72,"41.937338, -87.644666",179,OPEN,2018-01-31
"Skokie, IL",5507 W Touhy Ave,Skokie,IL,60077,USA,20,72,"42.009459, -87.766164",189,OPEN,2018-01-30
"Oak Creek, WI",171 W Town Square Way,Oak Creek,WI,53154,USA,10,150,"42.900045, -87.913714",219,OPEN,2018-01-26
"Livonia, MI",13000 Middlebelt Rd,Livonia,MI,48150,USA,10,150,"42.379485, -83.32954",193,OPEN,2018-01-21
"Lynnwood, WA",2902 164th Street SW,Lynnwood,WA,98087,USA,10,,"47.846712, -122.271391",131,OPEN,2018-01-20
"Clinton Corners, NY",2300 Salt Point Tpke,Clinton Corners,NY,12514,USA,8,,"41.825464, -73.770719",87,OPEN,2018-01-17
"Huntington, WV",432 18th Street W,Huntington,WV,25704,USA,8,120,"38.410941, -82.487122",168,OPEN,2018-01-11
"Mt. Shasta - 134 Morgan Way, CA",134 Morgan Way,Mt. Shasta,CA,96067,USA,16,,"41.310348, -122.316039",1070,OPEN,2018-01-04
"Riverside, CA",3878 Market St,Riverside,CA,92501,USA,24,72,"33.981393, -117.37577",258,OPEN,2017-12-29
"Cambridge, MA",100 Cambridgeside Place,Cambridge,MA,2141,USA,8,72,"42.368483, -71.076189",1,OPEN,2017-12-29
"Richmond, VA",4401 S Laburnum Ave,Richmond,VA,23231,USA,20,120,"37.529855, -77.353819",46,OPEN,2017-12-25
"Oshkosh, WI",2415 Westown Ave,Oshkosh,WI,54904,USA,6,150,"44.028779, -88.592508",236,OPEN,2017-12-21
"Madison - East Washington Ave, WI",3801 E Washington Ave,Madison,WI,53704,USA,8,150,"43.119137, -89.319052",265,OPEN,2017-12-20
"Manchester, CT",1470 Pleasant Valley Rd,Manchester,CT,6042,USA,16,,"41.80455, -72.562267",41,OPEN,2017-12-18
"Greensboro, NC",5421 Hornaday Road,Greensboro,NC,27407,USA,8,150,"36.059473, -79.908358",284,OPEN,2017-12-17
"Lewes, DE",17663 Dartmouth Dr,Lewes,DE,19958,USA,8,120,"38.743725, -75.153394",7,OPEN,2017-12-16
"West Melbourne, FL",205 Palm Bay Rd NE,West Melbourne,FL,32904,USA,8,120,"28.037035, -80.664204",8,OPEN,2017-12-16
"Willcox, AZ",1251 Virginia Ave,Willcox,AZ,85643,USA,8,150,"32.269811, -109.8457",1275,OPEN,2017-12-15
"Bellefonte, PA",170 Buckaroo Lane,Bellefonte,PA,16823,USA,8,120,"40.913884, -77.738425",286,OPEN,2017-12-15
"Gaithersburg, MD",24 Grand Corner Ave,Gaithersburg,MD,20878,USA,12,,"39.118151, -77.202271",138,OPEN,2017-12-14
"Leominster, MA",100 Commercial Rd,Leominster,MA,1453,USA,8,,"42.529798, -71.744151",91,OPEN,2017-12-13
"Laredo, TX",110 Calle Del Norte Drive,Laredo,TX,78041,USA,8,150,"27.555003, -99.49424",133,OPEN,2017-12-12
"Mt. Jackson, VA",227 Conicville Rd,Mt. Jackson,VA,22842,USA,8,150,"38.760227, -78.63121",277,OPEN,2017-12-05
"Boston - Allstate Road, MA","8 Allstate Rd, 6th floor",Boston,MA,2118,USA,10,72,"42.325662, -71.063013",3,OPEN,2017-12-03
"Austin, TX",6406 N Interstate 35 Frontage Rd,Austin,TX,78752,USA,8,150,"30.329175, -97.706339",221,OPEN,2017-11-30
"Toledo, OH",1500 East Alexis Road,Toledo,OH,43612,USA,10,150,"41.721617, -83.509207",179,OPEN,2017-11-24
"Roseville, MI",30800 Little Mack Ave,Roseville,MI,48066,USA,8,150,"42.522048, -82.906756",182,OPEN,2017-11-23
"Yermo, CA",36017 Calico Rd,Yermo,CA,92398,USA,18,,"34.907217, -116.835801",590,OPEN,2017-11-23
"Baker, CA",71808 Baker Blvd,Baker,CA,97035,USA,40,120,"35.262758, -116.080193",283,OPEN,2017-11-21
"Scottsdale - N Scottsdale Rd, AZ",15000 N 73rd St,Scottsdale,AZ,85260,USA,16,72,"33.623139, -111.922451",447,OPEN,2017-11-21
"Sherburn, MN",600 State Highway 4,Sherburn,MN,56171,USA,8,150,"43.66182, -94.733012",395,OPEN,2017-11-19
"Deming, NM",1695 US-180,Deming,NM,88030,USA,8,150,"32.281357, -107.760281",1324,OPEN,2017-11-18
"Lone Tree, CO",Park Meadows Center Dr,Lone Tree,CO,80124,USA,10,150,"39.562726, -104.873432",1789,OPEN,2017-11-17
"San Clemente, CA",99 West Avenida Vista Hermosa,San Clemente,CA,92672,USA,21,150,"33.437177, -117.62712",46,OPEN,2017-11-17
"Kettleman City, CA",33360 Powers Dr,Kettleman City,CA,93239,USA,40,250,"35.987651, -119.962336",100,OPEN,2017-11-15
"Fayetteville, NC",1965 Cedar Creek Rd,Fayetteville,NC,28312,USA,16,150,"35.009527, -78.822416",28,OPEN,2017-11-06
"Raleigh, NC",4191 The Circle At North Hills St,Raleigh,NC,27609,USA,12,150,"35.835623, -78.642569",110,OPEN,2017-11-02
"San Mateo-Bridgepointe Pkwy, CA",2220 Bridgepointe Pkwy,San Mateo,CA,94404,USA,12,120,"37.558546, -122.284614",3,OPEN,2017-11-01
"Spearfish, SD",3275 Old Belle Rd,Spearfish,SD,57783,USA,6,150,"44.520607, -103.890924",1077,OPEN,2017-10-30
"Sioux Falls, SD",1900 South Marion Road,Sioux Falls,SD,57106,USA,8,120,"43.527655, -96.790579",435,OPEN,2017-10-30
"Cookeville, TN",377 W Jackson St,Cookeville,TN,38501,USA,8,120,"36.155848, -85.515211",330,OPEN,2017-10-23
"Rochester, MN","Hy-Vee, 500 Crossroads Drive SW",Rochester,MN,55902,USA,8,150,"44.006329, -92.470902",306,OPEN,2017-10-21
"Florence, SC",2701 David H McLeod Blvd,Florence,SC,29501,USA,18,150,"34.190371, -79.832575",39,OPEN,2017-10-21
"Freeport, ME",Justins Way & Cross St,Freeport,ME,4032,USA,8,120,"43.8587942, -70.1041363",49,OPEN,2017-10-19
"Rolling Meadows, IL",1301 Meijer Drive,Rolling Meadows,IL,60008,USA,22,250,"42.049702, -87.994915",219,OPEN,2017-10-18
"Oacoma, SD",1000 East South Dakota Highway 16,Oacoma,SD,57365,USA,8,150,"43.803188, -99.383442",434,OPEN,2017-10-16
"Tucson, AZ",9255 S Rita Rd,Tucson,AZ,85747,USA,10,150,"32.083857, -110.803571",895,OPEN,2017-10-15
"Oxford, AL",550 Oxford Exchange Blvd,Oxford,AL,36203,USA,16,,"33.610651, -85.782355",190,OPEN,2017-10-15
"Sacramento, CA",3668 North Freeway Blvd,Sacramento,CA,95834,USA,10,150,"38.637729, -121.49718",4,OPEN,2017-10-13
"Salinas, CA",1606 North Main St,Salinas,CA,93906,USA,14,150,"36.715699, -121.653992",29,OPEN,2017-10-13
